item_order,participantID,age,sex,list,itemID,item,is_correct,response,correctness,answeing_time,target_sentence_position,number_of_propositions,condition,plausibility,arithmetic,task,r10_equationID,r10_response,r10_rt,r20_equationID,r20_response,r20_rt,r30_equationID,r30_response,r30_rt,r40_equationID,r40_response,r40_rt,comment,r10_is_correct,r10_correctness,r20_is_correct,r20_correctness,r30_is_correct,r30_correctness,r40_is_correct,r40_correctness,eq_acc_trial,eq_n_trial
95,40438253,59,female,G,8922,602,J,F,0,4660,third,three,ExperienerObject,implausible,1digit_2addition,dual,x4985,84745,25197,x4986,44874,21003,x4987,84779,20217,*,NA,NA,NULL,17,0,9,0,17,0,NA,NA,0,3
86,40438253,59,female,G,8681,521,J,J,1,4076,third,three,ExperienerSubject,plausible,1digit_2addition,dual,x4021,24216,16412,x4022,40220,8146,x4023,12069,13396,*,NA,NA,NULL,6,0,10,0,3,0,NA,NA,0,3
94,40438253,59,female,G,12681,601,F,F,1,7841,second,three,ExperienerObject,plausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
97,40438253,59,female,G,8942,622,J,F,0,3253,first,three,ExperienerObject,implausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
75,40438253,59,female,G,8482,402,J,J,1,3528,second,three,BenefactiveFor,plausible,1digit_2addition,noisy-single,x3225,NA,NA,x3226,NA,NA,x3227,NA,NA,*,NA,NA,NULL,18,NA,12,NA,9,NA,NA,NA,NA,0
65,40438253,59,female,G,12142,302,F,F,1,3468,second,three,DativeConstruction,implausible,1digit_2addition,dual,x7645,129965,20536,x7646,22938,18848,x7647,91764,19806,*,NA,NA,NULL,17,0,3,0,12,0,NA,NA,0,3
43,40438253,59,female,G,11762,82,F,J,0,4432,first,three,Passive,implausible,1digit_2addition,single,mason,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
42,40438253,59,female,G,11761,81,F,J,0,4721,first,three,Passive,implausible,1digit_2addition,noisy-single,x6101,NA,NA,x6102,NA,NA,x6103,NA,NA,*,NA,NA,NULL,5,NA,14,NA,11,NA,NA,NA,NA,0
55,40438253,59,female,G,11962,202,F,J,0,2908,second,three,DoubleObjectConstruction,implausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
53,40438253,59,female,G,11942,182,F,F,1,5023,first,three,DoubleObjectConstruction,implausible,1digit_2addition,dual,x6825,95550,20555,x6826,11268,20423,x6827,68270,10913,*,NA,NA,NULL,14,0,18,0,10,0,NA,NA,0,3
52,40438253,59,female,G,8021,181,J,J,1,3330,third,three,DoubleObjectConstruction,plausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
67,40438253,59,female,G,12242,322,F,J,0,3480,first,three,BenefactiveDoubleObjectConstruction,implausible,1digit_2addition,single,housemaid,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
81,40438253,59,female,G,12382,462,F,J,0,2647,second,three,BenefactiveFor,plausible,1digit_2addition,noisy-single,x8605,NA,NA,x8606,NA,NA,x8607,NA,NA,*,NA,NA,NULL,16,NA,12,NA,8,NA,NA,NA,NA,0
58,40438253,59,female,G,12001,241,F,J,0,3345,first,three,DativeConstruction,plausible,1digit_2addition,single,the,NA,NA,goalie.,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
76,40438253,59,female,G,8501,421,J,F,0,7637,third,three,BenefactiveFor,plausible,1digit_2addition,single,the,NA,NA,criminal.,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
69,40438253,59,female,G,12182,342,F,J,0,3213,first,three,BenefactiveDoubleObjectConstruction,plausible,1digit_2addition,noisy-single,x7805,NA,NA,x7806,NA,NA,x7807,NA,NA,*,NA,NA,NULL,4,NA,13,NA,16,NA,NA,NA,NA,0
64,40438253,59,female,G,8221,301,J,J,1,2762,first,three,DativeConstruction,plausible,1digit_2addition,single,the,NA,NA,figure-skater.,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
50,40438253,59,female,G,8001,161,J,F,0,2810,second,three,DoubleObjectConstruction,plausible,1digit_2addition,dual,x1281,13453,16102,x1282,24558,15624,x1283,12830,7534,*,NA,NA,NULL,13,0,14,0,10,0,NA,NA,0,3
89,40438253,59,female,G,12622,542,F,F,1,2754,second,three,ExperienerSubject,implausible,1digit_2addition,dual,x9565,43590,23524,x9566,57396,25546,x9567,764324,12808,*,NA,NA,NULL,9,0,6,0,15,0,NA,NA,0,3
78,40438253,59,female,G,12441,441,F,No Response,0,1.77144E+12,second,three,BenefactiveFor,implausible,1digit_2addition,noisy-single,x8841,NA,NA,x8842,NA,NA,x8843,NA,NA,*,NA,NA,NULL,16,NA,6,NA,3,NA,NA,NA,NA,0
54,40438253,59,female,G,11961,201,F,F,1,3437,second,three,DoubleObjectConstruction,implausible,1digit_2addition,noisy-single,x6901,NA,NA,x6902,NA,NA,x6903,NA,NA,*,NA,NA,NULL,16,NA,10,NA,17,NA,NA,NA,NA,0
87,40438253,59,female,G,8682,522,J,J,1,2467,third,three,ExperienerSubject,plausible,1digit_2addition,noisy-single,x4025,NA,NA,x4026,NA,NA,x4027,NA,NA,*,NA,NA,NULL,5,NA,10,NA,8,NA,NA,NA,NA,0
88,40438253,59,female,G,8701,541,J,F,0,3315,first,three,ExperienerSubject,plausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
60,40438253,59,female,G,8261,261,J,J,1,4078,third,three,DativeConstruction,implausible,1digit_2addition,noisy-single,x2321,NA,NA,x2322,NA,NA,x2323,NA,NA,x2324,NA,NA,NULL,12,NA,8,NA,10,NA,12,NA,NA,0
79,40438253,59,female,G,12442,442,F,J,0,4924,second,three,BenefactiveFor,implausible,1digit_2addition,single,the,NA,NA,extremist.,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
73,40438253,59,female,G,8462,382,J,J,1,3445,first,three,BenefactiveDoubleObjectConstruction,implausible,1digit_2addition,single,yodeler,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
47,40438253,59,female,G,7962,122,J,J,1,2744,third,three,Passive,implausible,1digit_2addition,dual,x1125,13500,22328,x1126,65436,23224,x1127,11270,6242,*,NA,NA,NULL,12,0,9,0,10,0,NA,NA,0,3
83,40438253,59,female,G,8722,482,J,F,0,2957,second,three,ExperienerSubject,implausible,1digit_2addition,dual,x4185,58590,18588,x4186,37574,24122,x4187,58618,17332,*,NA,NA,NULL,14,0,9,0,9,0,NA,NA,0,3
40,40438253,59,female,G,7741,61,J,F,0,5555,first,three,Transitive,plausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
36,40438253,59,female,G,7781,21,J,J,1,2291,third,three,Transitive,implausible,1digit_2addition,noisy-single,x401,NA,NA,x402,NA,NA,x403,NA,NA,*,NA,NA,NULL,9,NA,15,NA,10,NA,NA,NA,NA,0
70,40438253,59,female,G,12201,361,F,F,1,7624,second,three,BenefactiveDoubleObjectConstruction,plausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
34,40438253,59,female,G,11521,1,F,F,1,3314,first,three,Transitive,plausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
57,40438253,59,female,G,11902,222,F,F,1,3572,second,three,DoubleObjectConstruction,plausible,1digit_2addition,noisy-single,x6665,NA,NA,x6666,NA,NA,x6667,NA,NA,*,NA,NA,NULL,6,NA,14,NA,11,NA,NA,NA,NA,0
90,40438253,59,female,G,12721,561,F,F,1,3540,first,three,ExperienerObject,implausible,1digit_2addition,noisy-single,x9961,NA,NA,x9962,NA,NA,x9963,NA,NA,*,NA,NA,NULL,12,NA,7,NA,13,NA,NA,NA,NA,0
56,40438253,59,female,G,11901,221,F,F,1,3409,second,three,DoubleObjectConstruction,plausible,1digit_2addition,dual,x6661,73271,23822,x6662,99930,15116,x6663,99945,15706,*,NA,NA,NULL,11,0,15,0,15,0,NA,NA,0,3
74,40438253,59,female,G,8481,401,J,F,0,3275,second,three,BenefactiveFor,plausible,1digit_2addition,dual,x3221,19326,25454,x3222,38664,54290,x3223,25784,14046,*,NA,NA,NULL,6,0,4,0,8,0,NA,NA,0,3
68,40438253,59,female,G,12181,341,F,J,0,3952,first,three,BenefactiveDoubleObjectConstruction,plausible,1digit_2addition,dual,x7801,78010,8574,x7802,70218,35296,x7803,78030,8823,*,NA,NA,NULL,10,0,9,0,10,0,NA,NA,0,3
46,40438253,59,female,G,11721,121,F,F,1,5708,second,three,Passive,plausible,1digit_2addition,single,assembled,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
44,40438253,59,female,G,11701,101,F,F,1,2456,first,three,Passive,plausible,1digit_2addition,dual,x5861,41027,18196,x5862,58620,7970,x5863,58630,11541,*,NA,NA,NULL,7,0,10,0,10,0,NA,NA,0,3
91,40438253,59,female,G,12722,562,F,F,1,3159,first,three,ExperienerObject,implausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
51,40438253,59,female,G,8002,162,J,J,1,4011,second,three,DoubleObjectConstruction,plausible,1digit_2addition,noisy-single,x1285,NA,NA,x1286,NA,NA,x1287,NA,NA,*,NA,NA,NULL,11,NA,11,NA,10,NA,NA,NA,NA,0
59,40438253,59,female,G,8242,242,J,F,0,2888,second,three,DativeConstruction,implausible,1digit_2addition,dual,x2245,15715,15430,x2246,20214,14336,x2247,35952,18211,*,NA,NA,NULL,7,0,9,0,16,0,NA,NA,0,3
61,40438253,59,female,G,8262,262,J,J,1,3373,third,three,DativeConstruction,implausible,1digit_2addition,single,the,NA,NA,assignment,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
78,89029825,28,male,J,8521,441,J,J,1,2234,first,three,BenefactiveFor,plausible,1digit_2addition,noisy-single,x3381,NA,NA,x3382,NA,NA,x3383,NA,NA,*,NA,NA,NULL,17,NA,5,NA,10,NA,NA,NA,NA,0
92,89029825,28,male,J,12741,581,F,F,1,1504,second,three,ExperienerObject,implausible,1digit_2addition,dual,x10041,18,3162,x10042,5,1357,x10043,9,1401,*,NA,NA,NULL,15,0,5,1,9,1,NA,NA,0.666666667,3
85,89029825,28,male,J,12502,502,F,F,1,2620,second,three,ExperienerSubject,plausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
48,89029825,28,male,J,11741,141,F,J,0,1718,third,three,Passive,plausible,1digit_2addition,noisy-single,x6021,NA,NA,x6022,NA,NA,x6023,NA,NA,*,NA,NA,NULL,5,NA,15,NA,10,NA,NA,NA,NA,0
47,89029825,28,male,J,11722,122,F,F,1,2497,second,three,Passive,plausible,1digit_2addition,dual,x5945,7,1269,x5946,5,1550,x5947,10,1952,*,NA,NA,NULL,7,1,5,1,10,1,NA,NA,1,3
77,89029825,28,male,J,8502,422,J,F,0,4591,third,three,BenefactiveFor,plausible,1digit_2addition,dual,x3305,11,1295,x3306,12,1264,x3307,6,1519,*,NA,NA,NULL,11,1,12,1,6,1,NA,NA,1,3
49,89029825,28,male,J,11742,142,F,F,1,4783,third,three,Passive,plausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
86,89029825,28,male,J,8761,521,J,F,0,3277,first,three,ExperienerSubject,implausible,1digit_2addition,dual,x4341,13,2464,x4342,6,1353,x4343,11,1224,*,NA,NA,NULL,13,1,6,1,11,1,NA,NA,1,3
74,89029825,28,male,J,8561,401,J,J,1,1803,third,three,BenefactiveFor,implausible,1digit_2addition,dual,x3541,11,1326,x3542,10,1426,x3543,6,1436,*,NA,NA,NULL,11,1,10,1,6,1,NA,NA,1,3
53,89029825,28,male,J,8022,182,J,J,1,3097,third,three,DoubleObjectConstruction,plausible,1digit_2addition,dual,x1365,11,1252,x1366,14,2465,x1367,9,1446,*,NA,NA,NULL,11,1,16,0,9,1,NA,NA,0.666666667,3
64,89029825,28,male,J,8301,301,J,J,1,2869,second,three,DativeConstruction,implausible,1digit_2addition,single,the,NA,NA,train.,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
88,89029825,28,male,J,8781,541,J,F,0,4068,second,three,ExperienerSubject,implausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
69,89029825,28,male,J,12262,342,F,J,0,2848,second,three,BenefactiveDoubleObjectConstruction,implausible,1digit_2addition,noisy-single,x8125,NA,NA,x8126,NA,NA,x8127,NA,NA,*,NA,NA,NULL,13,NA,6,NA,10,NA,NA,NA,NA,0
61,89029825,28,male,J,12022,262,F,F,1,3244,second,three,DativeConstruction,plausible,1digit_2addition,single,the,NA,NA,sportscaster.,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
76,89029825,28,male,J,8581,421,J,F,0,3195,first,three,BenefactiveFor,implausible,1digit_2addition,single,the,NA,NA,choreographer.,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
83,89029825,28,male,J,12482,482,F,F,1,1978,first,three,ExperienerSubject,plausible,1digit_2addition,dual,x9005,10,1753,x9006,8,1441,x9007,7,1253,*,NA,NA,NULL,10,1,8,1,7,1,NA,NA,1,3
97,89029825,28,male,J,12702,622,F,F,1,3769,third,three,ExperienerObject,plausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
34,89029825,28,male,J,11601,1,F,J,0,3319,second,three,Transitive,implausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
67,89029825,28,male,J,8322,322,J,J,1,2774,third,three,BenefactiveDoubleObjectConstruction,plausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
35,89029825,28,male,J,11522,2,F,F,1,1921,first,three,Transitive,plausible,1digit_2addition,dual,x5145,8,2000,x5146,4,1342,x5147,10,1313,*,NA,NA,NULL,8,1,4,1,10,1,NA,NA,1,3
62,89029825,28,male,J,8281,281,J,J,1,1904,first,three,DativeConstruction,implausible,1digit_2addition,dual,x2421,16,2510,x2422,6,1155,x2423,13,2627,*,NA,NA,NULL,16,1,6,1,13,1,NA,NA,1,3
40,89029825,28,male,J,7821,61,J,J,1,1340,second,three,Transitive,implausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
81,89029825,28,male,J,12462,462,F,F,1,2893,third,three,BenefactiveFor,implausible,1digit_2addition,noisy-single,x8925,NA,NA,x8926,NA,NA,x8927,NA,NA,*,NA,NA,NULL,11,NA,11,NA,13,NA,NA,NA,NA,0
91,89029825,28,male,J,8802,562,J,J,1,1507,third,three,ExperienerObject,plausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
60,89029825,28,male,J,12021,261,F,J,0,2919,second,three,DativeConstruction,plausible,1digit_2addition,noisy-single,x7141,NA,NA,x7142,NA,NA,x7143,NA,NA,*,NA,NA,NULL,11,NA,9,NA,16,NA,NA,NA,NA,0
95,89029825,28,male,J,12682,602,F,F,1,2899,second,three,ExperienerObject,plausible,1digit_2addition,dual,x9805,14,1491,x9806,7,1291,x9807,11,1139,*,NA,NA,NULL,14,1,7,1,11,1,NA,NA,1,3
37,89029825,28,male,J,11542,22,F,F,1,2098,second,three,Transitive,plausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
41,89029825,28,male,J,7742,62,J,F,0,1629,first,three,Transitive,plausible,1digit_2addition,dual,x245,9,1325,x246,7,1529,x247,5,2027,*,NA,NA,NULL,9,1,7,1,6,0,NA,NA,0.666666667,3
36,89029825,28,male,J,11541,21,F,F,1,1936,second,three,Transitive,plausible,1digit_2addition,noisy-single,x5221,NA,NA,x5222,NA,NA,x5223,NA,NA,*,NA,NA,NULL,14,NA,13,NA,12,NA,NA,NA,NA,0
44,89029825,28,male,J,11781,101,F,F,1,2307,second,three,Passive,implausible,1digit_2addition,dual,x6181,17,1271,x6182,6,1353,x6183,5,1194,*,NA,NA,NULL,17,1,6,1,5,1,NA,NA,1,3
43,89029825,28,male,J,7842,82,J,J,1,1479,third,three,Passive,plausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
45,89029825,28,male,J,11782,102,F,F,1,2067,second,three,Passive,implausible,1digit_2addition,noisy-single,x6185,NA,NA,x6186,NA,NA,x6187,NA,NA,*,NA,NA,NULL,16,NA,6,NA,13,NA,NA,NA,NA,0
96,89029825,28,male,J,12701,621,F,F,1,4571,third,three,ExperienerObject,plausible,1digit_2addition,noisy-single,x9881,NA,NA,x9882,NA,NA,x9883,NA,NA,*,NA,NA,NULL,7,NA,12,NA,3,NA,NA,NA,NA,0
70,89029825,28,male,J,12281,361,F,F,1,4928,third,three,BenefactiveDoubleObjectConstruction,implausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
51,89029825,28,male,J,8082,162,J,J,1,3993,third,three,DoubleObjectConstruction,implausible,1digit_2addition,noisy-single,x1605,NA,NA,x1606,NA,NA,x1607,NA,NA,*,NA,NA,NULL,12,NA,6,NA,7,NA,NA,NA,NA,0
75,89029825,28,male,J,8562,402,J,J,1,2022,third,three,BenefactiveFor,implausible,1digit_2addition,noisy-single,x3545,NA,NA,x3546,NA,NA,x3547,NA,NA,*,NA,NA,NULL,4,NA,12,NA,10,NA,NA,NA,NA,0
89,89029825,28,male,J,8702,542,J,F,0,2103,first,three,ExperienerSubject,plausible,1digit_2addition,dual,x4105,6,1521,x4106,5,1266,x4107,3,1191,*,NA,NA,NULL,6,1,5,1,3,1,NA,NA,1,3
66,89029825,28,male,J,8321,321,J,J,1,2074,third,three,BenefactiveDoubleObjectConstruction,plausible,1digit_2addition,noisy-single,x2581,NA,NA,x2582,NA,NA,x2583,NA,NA,*,NA,NA,NULL,10,NA,11,NA,11,NA,NA,NA,NA,0
93,89029825,28,male,J,12742,582,F,J,0,2658,second,three,ExperienerObject,implausible,1digit_2addition,noisy-single,x10045,NA,NA,x10046,NA,NA,x10047,NA,NA,*,NA,NA,NULL,6,NA,16,NA,9,NA,NA,NA,NA,0
59,89029825,28,male,J,12002,242,F,J,0,2712,first,three,DativeConstruction,plausible,1digit_2addition,dual,x7065,12,3628,x7066,13,1540,x7067,10,1318,*,NA,NA,NULL,11,0,13,1,10,1,NA,NA,0.666666667,3
94,89029825,28,male,J,12761,601,F,F,1,2794,third,three,ExperienerObject,implausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
56,89029825,28,male,J,11981,221,F,F,1,2876,third,three,DoubleObjectConstruction,implausible,1digit_2addition,dual,x6981,7,1196,x6982,5,1215,x6983,12,1447,*,NA,NA,NULL,7,1,5,1,10,0,NA,NA,0.666666667,3
87,89029825,28,male,J,8762,522,J,J,1,2283,first,three,ExperienerSubject,implausible,1digit_2addition,noisy-single,x4345,NA,NA,x4346,NA,NA,x4347,NA,NA,*,NA,NA,NULL,7,NA,18,NA,11,NA,NA,NA,NA,0
63,89029825,28,male,J,8282,282,J,F,0,3111,first,three,DativeConstruction,implausible,1digit_2addition,noisy-single,x2425,NA,NA,x2426,NA,NA,x2427,NA,NA,*,NA,NA,NULL,7,NA,4,NA,12,NA,NA,NA,NA,0
50,89029825,28,male,J,8081,161,J,F,0,479,third,three,DoubleObjectConstruction,implausible,1digit_2addition,dual,x1601,10,896,x1602,11,963,x1603,9,1101,*,NA,NA,NULL,10,1,11,1,9,1,NA,NA,1,3
57,89029825,28,male,J,11982,222,F,F,1,3728,third,three,DoubleObjectConstruction,implausible,1digit_2addition,noisy-single,x6985,NA,NA,x6986,NA,NA,x6987,NA,NA,*,NA,NA,NULL,18,NA,10,NA,7,NA,NA,NA,NA,0
72,89029825,28,male,J,12221,381,F,F,1,2907,third,three,BenefactiveDoubleObjectConstruction,plausible,1digit_2addition,noisy-single,x7961,NA,NA,x7962,NA,NA,x7963,NA,NA,*,NA,NA,NULL,15,NA,15,NA,12,NA,NA,NA,NA,0
46,89029825,28,male,J,11801,121,F,F,1,2963,third,three,Passive,implausible,1digit_2addition,single,the,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
