EquationID,Equation,Result,ItemID,Context,Question,Correct_answer,Target_sentence_position,Number_of_propositions,Condition,Plausibility
x29,711 + 724 + 778 = x29,2213,7690,The writer described the landscape when the toolmaker singed the webmaster but the dean screamed the chiseler.,Did the writer describe the landscape?,Yes,first,three,Transitive,plausible
x31,204 + 207 + 187 = x31,598,7691,The crew destroyed the building when the monk applauded the executive because the consultant derided the waitress.,Did the crew destroy the building?,Yes,first,three,Transitive,plausible
x32,509 + 377 + 400 = x32,1286,7691,The crew destroyed the building when the monk applauded the executive because the consultant derided the waitress.,Did the crew destroy the building?,Yes,first,three,Transitive,plausible
x34,590 + 698 + 351 = x34,1639,7692,The architect designed the house when the bassist scared the taxpayer after the shopper assuaged the bride.,Did the architect design the house?,Yes,first,three,Transitive,plausible
x35,383 + 769 + 497 = x35,1649,7692,The architect designed the house when the bassist scared the taxpayer after the shopper assuaged the bride.,Did the architect design the house?,Yes,first,three,Transitive,plausible
x37,183 + 638 + 745 = x37,1566,7693,The student pushed the cart because the yodeler targeted the flutist and the neighbor distressed the arbitrator.,Did the student push the cart?,Yes,first,three,Transitive,plausible
x38,395 + 989 + 514 = x38,1898,7693,The student pushed the cart because the yodeler targeted the flutist and the neighbor distressed the arbitrator.,Did the student push the cart?,Yes,first,three,Transitive,plausible
x40,728 + 844 + 338 = x40,1910,7694,The artist drew the portrait because the warlord disparaged the webmaster but the entomologist targeted the usher.,Did the artist draw the portrait?,Yes,first,three,Transitive,plausible
x41,726 + 341 + 712 = x41,1779,7694,The artist drew the portrait because the warlord disparaged the webmaster but the entomologist targeted the usher.,Did the artist draw the portrait?,Yes,first,three,Transitive,plausible
x43,429 + 525 + 644 = x43,1598,7695,The teacher memorized the concept because the churchgoer alerted the football when the mariner nominated the survivor.,Did the teacher memorize the concept?,Yes,first,three,Transitive,plausible
x44,382 + 108 + 522 = x44,1012,7695,The teacher memorized the concept because the churchgoer alerted the football when the mariner nominated the survivor.,Did the teacher memorize the concept?,Yes,first,three,Transitive,plausible
x46,516 + 407 + 584 = x46,1507,7696,The blacksmith flattened the metal because the emissary beated the bishop after the fugitive agitated the upholsterer.,Did the blacksmith flatten the metal?,Yes,first,three,Transitive,plausible
x47,328 + 483 + 433 = x47,1244,7696,The blacksmith flattened the metal because the emissary beated the bishop after the fugitive agitated the upholsterer.,Did the blacksmith flatten the metal?,Yes,first,three,Transitive,plausible
x49,190 + 831 + 190 = x49,1211,7697,The artist folded the paper after the citizen belittled the appraiser and the physicist pursued the understudy.,Did the artist fold the paper?,Yes,first,three,Transitive,plausible
x50,228 + 814 + 646 = x50,1688,7697,The artist folded the paper after the citizen belittled the appraiser and the physicist pursued the understudy.,Did the artist fold the paper?,Yes,first,three,Transitive,plausible
x52,975 + 877 + 907 = x52,2759,7698,The carpenter hammered the nail after the sommelier smacked the optimist but the excavator followed the newscaster.,Did the carpenter hammer the nail?,Yes,first,three,Transitive,plausible
x53,230 + 976 + 759 = x53,1965,7698,The carpenter hammered the nail after the sommelier smacked the optimist but the excavator followed the newscaster.,Did the carpenter hammer the nail?,Yes,first,three,Transitive,plausible
x55,617 + 371 + 337 = x55,1325,7699,The hacker hacked the system after the crusader appeased the husband because the fanatic seduced the spaniard.,Did the hacker hack the system?,Yes,first,three,Transitive,plausible
x56,233 + 540 + 166 = x56,939,7699,The hacker hacked the system after the crusader appeased the husband because the fanatic seduced the spaniard.,Did the hacker hack the system?,Yes,first,three,Transitive,plausible
x58,775 + 105 + 933 = x58,1813,7700,The boxer hit the wall after the parishioner antagonized the miller when the salesman nominated the thug.,Did the boxer hit the wall?,Yes,first,three,Transitive,plausible
x59,614 + 754 + 423 = x59,1791,7700,The boxer hit the wall after the parishioner antagonized the miller when the salesman nominated the thug.,Did the boxer hit the wall?,Yes,first,three,Transitive,plausible
x61,160 + 189 + 879 = x61,1228,7701,The thug quoted the bricklayer and the player kicked the ball but the psychologist mentioned the stenographer.,Did the player kick the ball?,Yes,second,three,Transitive,plausible
x62,487 + 305 + 238 = x62,1030,7701,The thug quoted the bricklayer and the player kicked the ball but the psychologist mentioned the stenographer.,Did the player kick the ball?,Yes,second,three,Transitive,plausible
x64,137 + 944 + 194 = x64,1275,7702,The equestrian aggravated the understudy and the burglar knocked the door when the trickster accosted the security.,Did the burglar knock on the door?,Yes,second,three,Transitive,plausible
x65,442 + 209 + 927 = x65,1578,7702,The equestrian aggravated the understudy and the burglar knocked the door when the trickster accosted the security.,Did the burglar knock on the door?,Yes,second,three,Transitive,plausible
x67,523 + 744 + 534 = x67,1801,7703,The taxpayer scorned the crusader and the baker made the bread because the conman infuriated the anesthesiologist.,Did the baker make the bread?,Yes,second,three,Transitive,plausible
x68,364 + 476 + 962 = x68,1802,7703,The taxpayer scorned the crusader and the baker made the bread because the conman infuriated the anesthesiologist.,Did the baker make the bread?,Yes,second,three,Transitive,plausible
x70,390 + 113 + 551 = x70,1054,7704,The chiseler delighted the victim and the blacksmith pounded the metal after the treasurer spooked the songwriter.,Did the blacksmith pound the metal?,Yes,second,three,Transitive,plausible
x71,323 + 167 + 653 = x71,1143,7704,The chiseler delighted the victim and the blacksmith pounded the metal after the treasurer spooked the songwriter.,Did the blacksmith pound the metal?,Yes,second,three,Transitive,plausible
x73,799 + 857 + 284 = x73,1940,7705,The millionnaire rated the surfer but the factory produced the cars and the webmaster goaded the clown.,Did the factory produce the cars?,Yes,second,three,Transitive,plausible
x74,820 + 248 + 259 = x74,1327,7705,The millionnaire rated the surfer but the factory produced the cars and the webmaster goaded the clown.,Did the factory produce the cars?,Yes,second,three,Transitive,plausible
x76,625 + 385 + 558 = x76,1568,7706,The countess distracted the executive but the man protected the environment when the steelworker neglected the pole.,Did the man protect the environment?,Yes,second,three,Transitive,plausible
x77,210 + 238 + 706 = x77,1154,7706,The countess distracted the executive but the man protected the environment when the steelworker neglected the pole.,Did the man protect the environment?,Yes,second,three,Transitive,plausible
x79,427 + 713 + 909 = x79,2049,7707,The regular humiliated the geophysicist but the boxer punched the sandbag because the neighbor beated the admiral.,Did the boxer punch the sandbag?,Yes,second,three,Transitive,plausible
x80,766 + 661 + 662 = x80,2089,7707,The regular humiliated the geophysicist but the boxer punched the sandbag because the neighbor beated the admiral.,Did the boxer punch the sandbag?,Yes,second,three,Transitive,plausible
x82,687 + 574 + 436 = x82,1697,7708,The embalmer photographed the german but the boy read the magazine after the cheerleader lashed the brewer.,Did the boy read the magazine?,Yes,second,three,Transitive,plausible
x83,682 + 763 + 706 = x83,2151,7708,The embalmer photographed the german but the boy read the magazine after the cheerleader lashed the brewer.,Did the boy read the magazine?,Yes,second,three,Transitive,plausible
x85,186 + 264 + 372 = x85,822,7709,The veteran derided the swindler when the carpenter sawed the wood and the understudy defended the hitter.,Did the carpenter saw the wood?,Yes,second,three,Transitive,plausible
x86,477 + 123 + 995 = x86,1595,7709,The veteran derided the swindler when the carpenter sawed the wood and the understudy defended the hitter.,Did the carpenter saw the wood?,Yes,second,three,Transitive,plausible
x88,611 + 873 + 602 = x88,2086,7710,The drug honored the hotelier when the firefighter saved the life but the goalie disparaged the clown.,Did the firefighter save the life?,Yes,second,three,Transitive,plausible
x89,319 + 857 + 435 = x89,1611,7710,The drug honored the hotelier when the firefighter saved the life but the goalie disparaged the clown.,Did the firefighter save the life?,Yes,second,three,Transitive,plausible
x91,870 + 667 + 920 = x91,2457,7711,The perpetrator placated the concierge when the vandal shattered the window because the climber ridiculed the parachutist.,Did the vandal shatter the window?,Yes,second,three,Transitive,plausible
x92,426 + 984 + 344 = x92,1754,7711,The perpetrator placated the concierge when the vandal shattered the window because the climber ridiculed the parachutist.,Did the vandal shatter the window?,Yes,second,three,Transitive,plausible
x94,607 + 889 + 981 = x94,2477,7712,The dealer photographed the canadian when the pirate slashed the sail after the husband astounded the security.,Did the pirate slash the sail?,Yes,second,three,Transitive,plausible
x95,484 + 616 + 327 = x95,1427,7712,The dealer photographed the canadian when the pirate slashed the sail after the husband astounded the security.,Did the pirate slash the sail?,Yes,second,three,Transitive,plausible
x97,243 + 284 + 630 = x97,1157,7713,The know-it-all pated the senior because the chef sliced the bread and the locksmith invited the missionary.,Did the chef slice the bread?,Yes,second,three,Transitive,plausible
x98,177 + 289 + 943 = x98,1409,7713,The know-it-all pated the senior because the chef sliced the bread and the locksmith invited the missionary.,Did the chef slice the bread?,Yes,second,three,Transitive,plausible
x100,231 + 924 + 591 = x100,1746,7714,The psychiatrist fancied the delivery because the child smashed the toy but the veteran assuaged the cobbler.,Did the child smash the toy?,Yes,second,three,Transitive,plausible
x101,424 + 508 + 662 = x101,1594,7714,The psychiatrist fancied the delivery because the child smashed the toy but the veteran assuaged the cobbler.,Did the child smash the toy?,Yes,second,three,Transitive,plausible
x103,462 + 956 + 650 = x103,2068,7715,The pensioner enraged the miller because the player squashed the ball when the intermediary deceived the donor.,Did the player squash the ball?,Yes,second,three,Transitive,plausible
x104,183 + 949 + 387 = x104,1519,7715,The pensioner enraged the miller because the player squashed the ball when the intermediary deceived the donor.,Did the player squash the ball?,Yes,second,three,Transitive,plausible
x106,730 + 390 + 639 = x106,1759,7716,The botanist shamed the trendsetter because the boxer suggested the idea after the inventor befuddled the planner.,Did the boxer suggest the idea?,Yes,second,three,Transitive,plausible
x107,479 + 313 + 942 = x107,1734,7716,The botanist shamed the trendsetter because the boxer suggested the idea after the inventor befuddled the planner.,Did the boxer suggest the idea?,Yes,second,three,Transitive,plausible
x109,330 + 452 + 205 = x109,987,7717,The zoologist targeted the warrior after the student skipped the class and the fighter mocked the hairstylist.,Did the student skip the class?,Yes,second,three,Transitive,plausible
x110,465 + 515 + 737 = x110,1717,7717,The zoologist targeted the warrior after the student skipped the class and the fighter mocked the hairstylist.,Did the student skip the class?,Yes,second,three,Transitive,plausible
x112,291 + 679 + 621 = x112,1591,7718,The hitter backed the novelist after the artist touched the canvas but the suspect delighted the wife.,Did the artist touch the canvas?,Yes,second,three,Transitive,plausible
x113,301 + 632 + 746 = x113,1679,7718,The hitter backed the novelist after the artist touched the canvas but the suspect delighted the wife.,Did the artist touch the canvas?,Yes,second,three,Transitive,plausible
x115,285 + 358 + 325 = x115,968,7719,The meteorologist dazzled the hypochondriac after the chef used the knife because the sommelier sickened the finn.,Did the chef use the knife?,Yes,second,three,Transitive,plausible
x116,387 + 754 + 256 = x116,1397,7719,The meteorologist dazzled the hypochondriac after the chef used the knife because the sommelier sickened the finn.,Did the chef use the knife?,Yes,second,three,Transitive,plausible
x118,579 + 502 + 275 = x118,1356,7720,The playwright enticed the champion after the person wasted the water when the pharmacist intrigued the forester.,Did the person waste the water?,Yes,second,three,Transitive,plausible
x119,228 + 725 + 218 = x119,1171,7720,The playwright enticed the champion after the person wasted the water when the pharmacist intrigued the forester.,Did the person waste the water?,Yes,second,three,Transitive,plausible
x121,625 + 539 + 910 = x121,2074,7721,The heiress consulted the survivor and the pediatrician followed the mapmaker but the carpenter assembled the bookshelf.,Did the carpenter assemble the bookshelf?,Yes,third,three,Transitive,plausible
x122,431 + 276 + 911 = x122,1618,7721,The heiress consulted the survivor and the pediatrician followed the mapmaker but the carpenter assembled the bookshelf.,Did the carpenter assemble the bookshelf?,Yes,third,three,Transitive,plausible
x124,767 + 727 + 681 = x124,2175,7722,The zoologist recognized the embalmer and the deputy relieved the dog when the instructor bent the mat.,Did the instructor bend the mat?,Yes,third,three,Transitive,plausible
x125,246 + 585 + 721 = x125,1552,7722,The zoologist recognized the embalmer and the deputy relieved the dog when the instructor bent the mat.,Did the instructor bend the mat?,Yes,third,three,Transitive,plausible
x127,943 + 407 + 728 = x127,2078,7723,The telemarketer framed the linguist and the victim entertained the carrier because the child bit the chocolate.,Did the child bite the chocolate?,Yes,third,three,Transitive,plausible
x128,566 + 853 + 274 = x128,1693,7723,The telemarketer framed the linguist and the victim entertained the carrier because the child bit the chocolate.,Did the child bite the chocolate?,Yes,third,three,Transitive,plausible
x130,127 + 669 + 107 = x130,903,7724,The hypnotist honored the excavator and the dramatist avoided the usurper after the bartender blended the cocktail.,Did the bartender blend the cocktail?,Yes,third,three,Transitive,plausible
x131,871 + 839 + 201 = x131,1911,7724,The hypnotist honored the excavator and the dramatist avoided the usurper after the bartender blended the cocktail.,Did the bartender blend the cocktail?,Yes,third,three,Transitive,plausible
x133,152 + 409 + 803 = x133,1364,7725,The chief followed the lyricist but the upholsterer antagonized the churchgoer and the girl carved the statue.,Did the girl carve the statue?,Yes,third,three,Transitive,plausible
x134,743 + 961 + 357 = x134,2061,7725,The chief followed the lyricist but the upholsterer antagonized the churchgoer and the girl carved the statue.,Did the girl carve the statue?,Yes,third,three,Transitive,plausible
x136,798 + 894 + 565 = x136,2257,7726,The survivor befriended the henchman but the psychiatrist placated the grocer when the chef chopped the onions.,Did the chef chop the onions?,Yes,third,three,Transitive,plausible
x137,700 + 181 + 198 = x137,1079,7726,The survivor befriended the henchman but the psychiatrist placated the grocer when the chef chopped the onions.,Did the chef chop the onions?,Yes,third,three,Transitive,plausible
x139,262 + 436 + 839 = x139,1537,7727,The messenger approved the tenor but the showman alerted the undergraduate because the cleaner cleaned the windows.,Did the cleaner clean the windows?,Yes,third,three,Transitive,plausible
x140,331 + 796 + 947 = x140,2074,7727,The messenger approved the tenor but the showman alerted the undergraduate because the cleaner cleaned the windows.,Did the cleaner clean the windows?,Yes,third,three,Transitive,plausible
x142,991 + 283 + 238 = x142,1512,7728,The pacifist overcharged the murderer but the treasurer challenged the delivery after the collector collected the coins.,Did the collector collect the coins?,Yes,third,three,Transitive,plausible
x143,950 + 379 + 778 = x143,2107,7728,The pacifist overcharged the murderer but the treasurer challenged the delivery after the collector collected the coins.,Did the collector collect the coins?,Yes,third,three,Transitive,plausible
x145,667 + 413 + 154 = x145,1234,7729,The upholsterer acknowledged the creditor when the sentry saluted the prima_donna and the tailor cut the fabric.,Did the tailor cut the fabric?,Yes,third,three,Transitive,plausible
x146,503 + 135 + 104 = x146,742,7729,The upholsterer acknowledged the creditor when the sentry saluted the prima_donna and the tailor cut the fabric.,Did the tailor cut the fabric?,Yes,third,three,Transitive,plausible
x148,591 + 537 + 770 = x148,1898,7730,The forester mortified the defense when the patrolman buged the trespasser but the guide described the monument.,Did the guide describe the monument?,Yes,third,three,Transitive,plausible
x149,972 + 170 + 651 = x149,1793,7730,The forester mortified the defense when the patrolman buged the trespasser but the guide described the monument.,Did the guide describe the monument?,Yes,third,three,Transitive,plausible
x151,739 + 213 + 734 = x151,1686,7731,The physicist entertained the orthopedist when the hairdresser watched the concierge because the crew destroyed the facility.,Did the crew destroy the facility?,Yes,third,three,Transitive,plausible
x152,898 + 288 + 598 = x152,1784,7731,The physicist entertained the orthopedist when the hairdresser watched the concierge because the crew destroyed the facility.,Did the crew destroy the facility?,Yes,third,three,Transitive,plausible
x154,820 + 962 + 219 = x154,2001,7732,The underwriter visited the wench when the chairman chastised the waitress after the designer designed the logo.,Did the designer design the logo?,Yes,third,three,Transitive,plausible
x155,847 + 884 + 240 = x155,1971,7732,The underwriter visited the wench when the chairman chastised the waitress after the designer designed the logo.,Did the designer design the logo?,Yes,third,three,Transitive,plausible
x157,905 + 618 + 627 = x157,2150,7733,The diva startled the canadian because the panhandler raved the storekeeper and the student pushed the button.,Did the student push the button?,Yes,third,three,Transitive,plausible
x158,858 + 724 + 332 = x158,1914,7733,The diva startled the canadian because the panhandler raved the storekeeper and the student pushed the button.,Did the student push the button?,Yes,third,three,Transitive,plausible
x160,769 + 363 + 501 = x160,1633,7734,The spiritual backed the jockey because the embezzler seduced the embalmer but the artist drew the landscape.,Did the artist draw the landscape?,Yes,third,three,Transitive,plausible
x161,356 + 480 + 265 = x161,1101,7734,The spiritual backed the jockey because the embezzler seduced the embalmer but the artist drew the landscape.,Did the artist draw the landscape?,Yes,third,three,Transitive,plausible
x163,186 + 421 + 472 = x163,1079,7735,The revolutionary troubled the liberal because the proctor photographed the propagandist when the boy memorized the lines.,Did the boy memorize the lines?,Yes,third,three,Transitive,plausible
x164,995 + 389 + 122 = x164,1506,7735,The revolutionary troubled the liberal because the proctor photographed the propagandist when the boy memorized the lines.,Did the boy memorize the lines?,Yes,third,three,Transitive,plausible
x166,499 + 566 + 797 = x166,1862,7736,The minister distressed the yachtsman because the entomologist escorted the groom after the ironworker flattened the plate.,Did the ironworker flatten the plate?,Yes,third,three,Transitive,plausible
x167,352 + 628 + 840 = x167,1820,7736,The minister distressed the yachtsman because the entomologist escorted the groom after the ironworker flattened the plate.,Did the ironworker flatten the plate?,Yes,third,three,Transitive,plausible
x169,174 + 342 + 853 = x169,1369,7737,The dean remembered the welder after the bullfighter neglected the butler and the artist folded the crane.,Did the artist fold the crane?,Yes,third,three,Transitive,plausible
x170,978 + 821 + 816 = x170,2615,7737,The dean remembered the welder after the bullfighter neglected the butler and the artist folded the crane.,Did the artist fold the crane?,Yes,third,three,Transitive,plausible
x172,115 + 951 + 417 = x172,1483,7738,The emperor watched the american after the monk raved the geneticist but the blacksmith hammered the metal.,Did the blacksmith hammer the metal?,Yes,third,three,Transitive,plausible
x173,353 + 498 + 381 = x173,1232,7738,The emperor watched the american after the monk raved the geneticist but the blacksmith hammered the metal.,Did the blacksmith hammer the metal?,Yes,third,three,Transitive,plausible
x175,251 + 999 + 760 = x175,2010,7739,The dog tailgated the cartographer after the stenographer invoiced the provost because the kid hacked the computer.,Did the kid hack the computer?,Yes,third,three,Transitive,plausible
x176,378 + 116 + 421 = x176,915,7739,The dog tailgated the cartographer after the stenographer invoiced the provost because the kid hacked the computer.,Did the kid hack the computer?,Yes,third,three,Transitive,plausible
x178,325 + 590 + 677 = x178,1592,7740,The steelworker infuriated the postdoc after the authorities encountered the evangelist when the lady hit the bag.,Did the lady hit the bag?,Yes,third,three,Transitive,plausible
x179,527 + 127 + 789 = x179,1443,7740,The steelworker infuriated the postdoc after the authorities encountered the evangelist when the lady hit the bag.,Did the lady hit the bag?,Yes,third,three,Transitive,plausible
x181,380 + 118 + 934 = x181,1432,7741,The guy kicked the door and the pharmacist defended the co-worker but the socialist deprecated the surgeon.,Did the guy kick the door?,Yes,first,three,Transitive,plausible
x182,627 + 225 + 235 = x182,1087,7741,The guy kicked the door and the pharmacist defended the co-worker but the socialist deprecated the surgeon.,Did the guy kick the door?,Yes,first,three,Transitive,plausible
x184,170 + 859 + 614 = x184,1643,7742,The student knocked the door and the saleslady investigated the geneticist when the electrician delighted the chiseler.,Did the student knock on the door?,Yes,first,three,Transitive,plausible
x185,398 + 359 + 172 = x185,929,7742,The student knocked the door and the saleslady investigated the geneticist when the electrician delighted the chiseler.,Did the student knock on the door?,Yes,first,three,Transitive,plausible
x187,420 + 411 + 733 = x187,1564,7743,The baker made the cake and the showman intimidated the welder because the newscaster strangled the envoy.,Did the baker make the cake?,Yes,first,three,Transitive,plausible
x188,330 + 122 + 641 = x188,1093,7743,The baker made the cake and the showman intimidated the welder because the newscaster strangled the envoy.,Did the baker make the cake?,Yes,first,three,Transitive,plausible
x190,717 + 994 + 217 = x190,1928,7744,The worker pounded the metal and the petitioner startled the merchant after the neighbor quized the wholesaler.,Did the worker pound the metal?,Yes,first,three,Transitive,plausible
x191,128 + 743 + 313 = x191,1184,7744,The worker pounded the metal and the petitioner startled the merchant after the neighbor quized the wholesaler.,Did the worker pound the metal?,Yes,first,three,Transitive,plausible
x193,743 + 537 + 430 = x193,1710,7745,The factory produced the smartphones but the yachtsman asked the geologist and the culprit alerted the mapmaker.,Did the factory produce the smartphones?,Yes,first,three,Transitive,plausible
x194,816 + 426 + 965 = x194,2207,7745,The factory produced the smartphones but the yachtsman asked the geologist and the culprit alerted the mapmaker.,Did the factory produce the smartphones?,Yes,first,three,Transitive,plausible
x196,434 + 265 + 937 = x196,1636,7746,The soldiers protected the building but the partner honored the inventor when the workaholic sickened the saleslady.,Did the soldiers protect the building?,Yes,first,three,Transitive,plausible
x197,617 + 813 + 894 = x197,2324,7746,The soldiers protected the building but the partner honored the inventor when the workaholic sickened the saleslady.,Did the soldiers protect the building?,Yes,first,three,Transitive,plausible
x199,591 + 507 + 133 = x199,1231,7747,The boxer punched the locker but the survivor misleaded the psychopath because the minister screamed the patrolman.,Did the boxer punch the locker?,Yes,first,three,Transitive,plausible
x200,359 + 897 + 975 = x200,2231,7747,The boxer punched the locker but the survivor misleaded the psychopath because the minister screamed the patrolman.,Did the boxer punch the locker?,Yes,first,three,Transitive,plausible
x202,142 + 576 + 939 = x202,1657,7748,The student read the novel but the entertainer placated the pediatrician after the despot distressed the gangster.,Did the student read the novel?,Yes,first,three,Transitive,plausible
x203,433 + 393 + 128 = x203,954,7748,The student read the novel but the entertainer placated the pediatrician after the despot distressed the gangster.,Did the student read the novel?,Yes,first,three,Transitive,plausible
x205,430 + 819 + 154 = x205,1403,7749,The carpenter sawed the timber when the donor defeated the socialist and the envoy tailgated the paleontologist.,Did the carpenter saw the timber?,Yes,first,three,Transitive,plausible
x206,950 + 177 + 327 = x206,1454,7749,The carpenter sawed the timber when the donor defeated the socialist and the envoy tailgated the paleontologist.,Did the carpenter saw the timber?,Yes,first,three,Transitive,plausible
x208,394 + 754 + 907 = x208,2055,7750,The firefighter saved the money when the camper aggravated the intermediary but the concierge photographed the felon.,Did the firefighter save the money?,Yes,first,three,Transitive,plausible
x209,968 + 140 + 893 = x209,2001,7750,The firefighter saved the money when the camper aggravated the intermediary but the concierge photographed the felon.,Did the firefighter save the money?,Yes,first,three,Transitive,plausible
x211,128 + 258 + 374 = x211,760,7751,The vandals shattered the window when the equestrian sickened the watchman because the russian healed the user.,Did the vandals shatter the window?,Yes,first,three,Transitive,plausible
x212,296 + 794 + 248 = x212,1338,7751,The vandals shattered the window when the equestrian sickened the watchman because the russian healed the user.,Did the vandals shatter the window?,Yes,first,three,Transitive,plausible
x214,873 + 544 + 556 = x214,1973,7752,The pirate slashed the sail when the fool screamed the jailor after the soprano overcharged the courier.,Did the pirate slash the sail?,Yes,first,three,Transitive,plausible
x215,347 + 879 + 150 = x215,1376,7752,The pirate slashed the sail when the fool screamed the jailor after the soprano overcharged the courier.,Did the pirate slash the sail?,Yes,first,three,Transitive,plausible
x217,350 + 782 + 867 = x217,1999,7753,The chef sliced the tomato because the equestrian visited the housemaid and the quarterback neglected the lyricist.,Did the chef slice the tomato?,Yes,first,three,Transitive,plausible
x218,894 + 596 + 599 = x218,2089,7753,The chef sliced the tomato because the equestrian visited the housemaid and the quarterback neglected the lyricist.,Did the chef slice the tomato?,Yes,first,three,Transitive,plausible
x220,306 + 306 + 572 = x220,1184,7754,The child smashed the toy car because the forester maddened the teller but the striker astounded the physicist.,Did the child smash the toy car?,Yes,first,three,Transitive,plausible
x221,128 + 194 + 670 = x221,992,7754,The child smashed the toy car because the forester maddened the teller but the striker astounded the physicist.,Did the child smash the toy car?,Yes,first,three,Transitive,plausible
x223,563 + 477 + 800 = x223,1840,7755,The player squashed the ball because the dane asked the bodyguard when the governor goaded the showman.,Did the player squash the ball?,Yes,first,three,Transitive,plausible
x224,535 + 748 + 432 = x224,1715,7755,The player squashed the ball because the dane asked the bodyguard when the governor goaded the showman.,Did the player squash the ball?,Yes,first,three,Transitive,plausible
x226,523 + 129 + 427 = x226,1079,7756,The manager suggested the policy because the watchmaker peeved the hypnotist after the heiress healed the yachtsman.,Did the manager suggest the policy?,Yes,first,three,Transitive,plausible
x227,592 + 843 + 992 = x227,2427,7756,The manager suggested the policy because the watchmaker peeved the hypnotist after the heiress healed the yachtsman.,Did the manager suggest the policy?,Yes,first,three,Transitive,plausible
x229,233 + 763 + 752 = x229,1748,7757,The student skipped the party after the barkeeper noticed the sniper and the minister maddened the user.,Did the student skip the party?,Yes,first,three,Transitive,plausible
x230,671 + 438 + 511 = x230,1620,7757,The student skipped the party after the barkeeper noticed the sniper and the minister maddened the user.,Did the student skip the party?,Yes,first,three,Transitive,plausible
x232,157 + 264 + 666 = x232,1087,7758,The artist touched the canvas after the gourmand compensated the professor but the draftsman victimized the respondent.,Did the artist touch the canvas?,Yes,first,three,Transitive,plausible
x233,588 + 622 + 626 = x233,1836,7758,The artist touched the canvas after the gourmand compensated the professor but the draftsman victimized the respondent.,Did the artist touch the canvas?,Yes,first,three,Transitive,plausible
