ItemID,Context,Sentence_with_equations,Question,Correct_answer,Target_sentence_position,Number_of_propositions,Condition,Plausibility
7707,The regular humiliated the geophysicist but the boxer punched the sandbag because the neighbor beated the admiral.,The 4 regular + humiliated 8 the = geophysicist x105 but 1 the + boxer 9 punched = the x106 sandbag 8 because + the 5 neighbor = beated x107 the 5 admiral.,Did the boxer punch the sandbag?,Yes,second,three,Transitive,plausible
7708,The embalmer photographed the german but the boy read the magazine after the cheerleader lashed the brewer.,The 5 embalmer + photographed 1 the = german x109 but 5 the + boy 4 read = the x110 magazine 5 after + the 9 cheerleader = lashed x111 the 3 brewer.,Did the boy read the magazine?,Yes,second,three,Transitive,plausible
7709,The veteran derided the swindler when the carpenter sawed the wood and the understudy defended the hitter.,The 8 veteran + derided 1 the = swindler x113 when 9 the + carpenter 1 sawed = the x114 wood 7 and + the 3 understudy = defended x115 the 4 hitter.,Did the carpenter saw the wood?,Yes,second,three,Transitive,plausible
7710,The drug honored the hotelier when the firefighter saved the life but the goalie disparaged the clown.,The 3 drug + honored 4 the = hotelier x117 when 5 the + firefighter 5 saved = the x118 life 7 but + the 6 goalie = disparaged x119 the 2 clown.,Did the firefighter save the life?,Yes,second,three,Transitive,plausible
7711,The perpetrator placated the concierge when the vandal shattered the window because the climber ridiculed the parachutist.,The 9 perpetrator + placated 4 the = concierge x121 when 2 the + vandal 4 shattered = the x122 window 4 because + the 8 climber = ridiculed x123 the 2 parachutist.,Did the vandal shatter the window?,Yes,second,three,Transitive,plausible
7712,The dealer photographed the canadian when the pirate slashed the sail after the husband astounded the security.,The 4 dealer + photographed 1 the = canadian x125 when 2 the + pirate 8 slashed = the x126 sail 7 after + the 5 husband = astounded x127 the 4 security.,Did the pirate slash the sail?,Yes,second,three,Transitive,plausible
7713,The know-it-all pated the senior because the chef sliced the bread and the locksmith invited the missionary.,The 7 know-it-all + pated 9 the = senior x129 because 1 the + chef 1 sliced = the x130 bread 8 and + the 2 locksmith = invited x131 the 9 missionary.,Did the chef slice the bread?,Yes,second,three,Transitive,plausible
7714,The psychiatrist fancied the delivery because the child smashed the toy but the veteran assuaged the cobbler.,The 7 psychiatrist + fancied 9 the = delivery x133 because 3 the + child 5 smashed = the x134 toy 3 but + the 5 veteran = assuaged x135 the 1 cobbler.,Did the child smash the toy?,Yes,second,three,Transitive,plausible
7715,The pensioner enraged the miller because the player squashed the ball when the intermediary deceived the donor.,The 1 pensioner + enraged 2 the = miller x137 because 8 the + player 1 squashed = the x138 ball 3 when + the 3 intermediary = deceived x139 the 9 donor.,Did the player squash the ball?,Yes,second,three,Transitive,plausible
7716,The botanist shamed the trendsetter because the boxer suggested the idea after the inventor befuddled the planner.,The 3 botanist + shamed 3 the = trendsetter x141 because 4 the + boxer 3 suggested = the x142 idea 8 after + the 4 inventor = befuddled x143 the 1 planner.,Did the boxer suggest the idea?,Yes,second,three,Transitive,plausible
7717,The zoologist targeted the warrior after the student skipped the class and the fighter mocked the hairstylist.,The 8 zoologist + targeted 2 the = warrior x145 after 1 the + student 5 skipped = the x146 class 4 and + the 2 fighter = mocked x147 the 4 hairstylist.,Did the student skip the class?,Yes,second,three,Transitive,plausible
7718,The hitter backed the novelist after the artist touched the canvas but the suspect delighted the wife.,The 5 hitter + backed 6 the = novelist x149 after 2 the + artist 3 touched = the x150 canvas 3 but + the 7 suspect = delighted x151 the 4 wife.,Did the artist touch the canvas?,Yes,second,three,Transitive,plausible
7719,The meteorologist dazzled the hypochondriac after the chef used the knife because the sommelier sickened the finn.,The 9 meteorologist + dazzled 7 the = hypochondriac x153 after 9 the + chef 8 used = the x154 knife 1 because + the 1 sommelier = sickened x155 the 9 finn.,Did the chef use the knife?,Yes,second,three,Transitive,plausible
7720,The playwright enticed the champion after the person wasted the water when the pharmacist intrigued the forester.,The 9 playwright + enticed 9 the = champion x157 after 9 the + person 6 wasted = the x158 water 7 when + the 6 pharmacist = intrigued x159 the 2 forester.,Did the person waste the water?,Yes,second,three,Transitive,plausible
7721,The heiress consulted the survivor and the pediatrician followed the mapmaker but the carpenter assembled the bookshelf.,The 6 heiress + consulted 8 the = survivor x161 and 9 the + pediatrician 7 followed = the x162 mapmaker 4 but + the 6 carpenter = assembled x163 the 4 bookshelf.,Did the carpenter assemble the bookshelf?,Yes,third,three,Transitive,plausible
7722,The zoologist recognized the embalmer and the deputy relieved the dog when the instructor bent the mat.,The 6 zoologist + recognized 1 the = embalmer x165 and 2 the + deputy 2 relieved = the x166 dog 1 when + the 5 instructor = bent x167 the 9 mat.,Did the instructor bend the mat?,Yes,third,three,Transitive,plausible
7723,The telemarketer framed the linguist and the victim entertained the carrier because the child bit the chocolate.,The 2 telemarketer + framed 5 the = linguist x169 and 9 the + victim 3 entertained = the x170 carrier 3 because + the 4 child = bit x171 the 6 chocolate.,Did the child bite the chocolate?,Yes,third,three,Transitive,plausible
7724,The hypnotist honored the excavator and the dramatist avoided the usurper after the bartender blended the cocktail.,The 7 hypnotist + honored 6 the = excavator x173 and 1 the + dramatist 7 avoided = the x174 usurper 1 after + the 1 bartender = blended x175 the 7 cocktail.,Did the bartender blend the cocktail?,Yes,third,three,Transitive,plausible
7725,The chief followed the lyricist but the upholsterer antagonized the churchgoer and the girl carved the statue.,The 7 chief + followed 4 the = lyricist x177 but 8 the + upholsterer 1 antagonized = the x178 churchgoer 8 and + the 3 girl = carved x179 the 9 statue.,Did the girl carve the statue?,Yes,third,three,Transitive,plausible
7726,The survivor befriended the henchman but the psychiatrist placated the grocer when the chef chopped the onions.,The 2 survivor + befriended 3 the = henchman x181 but 5 the + psychiatrist 1 placated = the x182 grocer 5 when + the 2 chef = chopped x183 the 2 onions.,Did the chef chop the onions?,Yes,third,three,Transitive,plausible
7727,The messenger approved the tenor but the showman alerted the undergraduate because the cleaner cleaned the windows.,The 7 messenger + approved 4 the = tenor x185 but 8 the + showman 2 alerted = the x186 undergraduate 6 because + the 7 cleaner = cleaned x187 the 5 windows.,Did the cleaner clean the windows?,Yes,third,three,Transitive,plausible
7728,The pacifist overcharged the murderer but the treasurer challenged the delivery after the collector collected the coins.,The 2 pacifist + overcharged 3 the = murderer x189 but 3 the + treasurer 4 challenged = the x190 delivery 8 after + the 1 collector = collected x191 the 7 coins.,Did the collector collect the coins?,Yes,third,three,Transitive,plausible
7729,The upholsterer acknowledged the creditor when the sentry saluted the prima_donna and the tailor cut the fabric.,The 1 upholsterer + acknowledged 4 the = creditor x193 when 7 the + sentry 9 saluted = the x194 prima_donna 1 and + the 6 tailor = cut x195 the 9 fabric.,Did the tailor cut the fabric?,Yes,third,three,Transitive,plausible
7730,The forester mortified the defense when the patrolman buged the trespasser but the guide described the monument.,The 6 forester + mortified 4 the = defense x197 when 3 the + patrolman 5 buged = the x198 trespasser 9 but + the 3 guide = described x199 the 4 monument.,Did the guide describe the monument?,Yes,third,three,Transitive,plausible
7731,The physicist entertained the orthopedist when the hairdresser watched the concierge because the crew destroyed the facility.,The 6 physicist + entertained 3 the = orthopedist x201 when 5 the + hairdresser 9 watched = the x202 concierge 4 because + the 5 crew = destroyed x203 the 9 facility.,Did the crew destroy the facility?,Yes,third,three,Transitive,plausible
7732,The underwriter visited the wench when the chairman chastised the waitress after the designer designed the logo.,The 3 underwriter + visited 2 the = wench x205 when 3 the + chairman 1 chastised = the x206 waitress 8 after + the 7 designer = designed x207 the 8 logo.,Did the designer design the logo?,Yes,third,three,Transitive,plausible
7733,The diva startled the canadian because the panhandler raved the storekeeper and the student pushed the button.,The 1 diva + startled 2 the = canadian x209 because 6 the + panhandler 7 raved = the x210 storekeeper 2 and + the 4 student = pushed x211 the 2 button.,Did the student push the button?,Yes,third,three,Transitive,plausible
7734,The spiritual backed the jockey because the embezzler seduced the embalmer but the artist drew the landscape.,The 9 spiritual + backed 2 the = jockey x213 because 5 the + embezzler 8 seduced = the x214 embalmer 3 but + the 5 artist = drew x215 the 3 landscape.,Did the artist draw the landscape?,Yes,third,three,Transitive,plausible
7735,The revolutionary troubled the liberal because the proctor photographed the propagandist when the boy memorized the lines.,The 5 revolutionary + troubled 7 the = liberal x217 because 2 the + proctor 3 photographed = the x218 propagandist 3 when + the 6 boy = memorized x219 the 5 lines.,Did the boy memorize the lines?,Yes,third,three,Transitive,plausible
7736,The minister distressed the yachtsman because the entomologist escorted the groom after the ironworker flattened the plate.,The 8 minister + distressed 1 the = yachtsman x221 because 5 the + entomologist 1 escorted = the x222 groom 5 after + the 3 ironworker = flattened x223 the 2 plate.,Did the ironworker flatten the plate?,Yes,third,three,Transitive,plausible
7737,The dean remembered the welder after the bullfighter neglected the butler and the artist folded the crane.,The 4 dean + remembered 3 the = welder x225 after 6 the + bullfighter 9 neglected = the x226 butler 6 and + the 9 artist = folded x227 the 2 crane.,Did the artist fold the crane?,Yes,third,three,Transitive,plausible
7738,The emperor watched the american after the monk raved the geneticist but the blacksmith hammered the metal.,The 3 emperor + watched 8 the = american x229 after 9 the + monk 2 raved = the x230 geneticist 7 but + the 8 blacksmith = hammered x231 the 8 metal.,Did the blacksmith hammer the metal?,Yes,third,three,Transitive,plausible
7739,The dog tailgated the cartographer after the stenographer invoiced the provost because the kid hacked the computer.,The 7 dog + tailgated 8 the = cartographer x233 after 1 the + stenographer 4 invoiced = the x234 provost 9 because + the 3 kid = hacked x235 the 7 computer.,Did the kid hack the computer?,Yes,third,three,Transitive,plausible
7740,The steelworker infuriated the postdoc after the authorities encountered the evangelist when the lady hit the bag.,The 9 steelworker + infuriated 4 the = postdoc x237 after 8 the + authorities 6 encountered = the x238 evangelist 8 when + the 2 lady = hit x239 the 7 bag.,Did the lady hit the bag?,Yes,third,three,Transitive,plausible
7741,The guy kicked the door and the pharmacist defended the co-worker but the socialist deprecated the surgeon.,The 4 guy + kicked 3 the = door x241 and 6 the + pharmacist 9 defended = the x242 co-worker 7 but + the 4 socialist = deprecated x243 the 3 surgeon.,Did the guy kick the door?,Yes,first,three,Transitive,plausible
7742,The student knocked the door and the saleslady investigated the geneticist when the electrician delighted the chiseler.,The 5 student + knocked 4 the = door x245 and 2 the + saleslady 5 investigated = the x246 geneticist 5 when + the 1 electrician = delighted x247 the 7 chiseler.,Did the student knock on the door?,Yes,first,three,Transitive,plausible
7743,The baker made the cake and the showman intimidated the welder because the newscaster strangled the envoy.,The 6 baker + made 5 the = cake x249 and 7 the + showman 7 intimidated = the x250 welder 1 because + the 2 newscaster = strangled x251 the 3 envoy.,Did the baker make the cake?,Yes,first,three,Transitive,plausible
7744,The worker pounded the metal and the petitioner startled the merchant after the neighbor quized the wholesaler.,The 1 worker + pounded 6 the = metal x253 and 9 the + petitioner 9 startled = the x254 merchant 8 after + the 4 neighbor = quized x255 the 7 wholesaler.,Did the worker pound the metal?,Yes,first,three,Transitive,plausible
7745,The factory produced the smartphones but the yachtsman asked the geologist and the culprit alerted the mapmaker.,The 1 factory + produced 9 the = smartphones x257 but 2 the + yachtsman 4 asked = the x258 geologist 8 and + the 3 culprit = alerted x259 the 8 mapmaker.,Did the factory produce the smartphones?,Yes,first,three,Transitive,plausible
7746,The soldiers protected the building but the partner honored the inventor when the workaholic sickened the saleslady.,The 9 soldiers + protected 9 the = building x261 but 9 the + partner 9 honored = the x262 inventor 3 when + the 4 workaholic = sickened x263 the 1 saleslady.,Did the soldiers protect the building?,Yes,first,three,Transitive,plausible
7747,The boxer punched the locker but the survivor misleaded the psychopath because the minister screamed the patrolman.,The 6 boxer + punched 2 the = locker x265 but 3 the + survivor 1 misleaded = the x266 psychopath 4 because + the 1 minister = screamed x267 the 6 patrolman.,Did the boxer punch the locker?,Yes,first,three,Transitive,plausible
7748,The student read the novel but the entertainer placated the pediatrician after the despot distressed the gangster.,The 3 student + read 7 the = novel x269 but 7 the + entertainer 5 placated = the x270 pediatrician 4 after + the 1 despot = distressed x271 the 5 gangster.,Did the student read the novel?,Yes,first,three,Transitive,plausible
7749,The carpenter sawed the timber when the donor defeated the socialist and the envoy tailgated the paleontologist.,The 3 carpenter + sawed 9 the = timber x273 when 5 the + donor 6 defeated = the x274 socialist 4 and + the 6 envoy = tailgated x275 the 3 paleontologist.,Did the carpenter saw the timber?,Yes,first,three,Transitive,plausible
7750,The firefighter saved the money when the camper aggravated the intermediary but the concierge photographed the felon.,The 6 firefighter + saved 9 the = money x277 when 7 the + camper 4 aggravated = the x278 intermediary 3 but + the 4 concierge = photographed x279 the 5 felon.,Did the firefighter save the money?,Yes,first,three,Transitive,plausible
7751,The vandals shattered the window when the equestrian sickened the watchman because the russian healed the user.,The 2 vandals + shattered 4 the = window x281 when 5 the + equestrian 2 sickened = the x282 watchman 5 because + the 7 russian = healed x283 the 9 user.,Did the vandals shatter the window?,Yes,first,three,Transitive,plausible
7752,The pirate slashed the sail when the fool screamed the jailor after the soprano overcharged the courier.,The 2 pirate + slashed 7 the = sail x285 when 5 the + fool 1 screamed = the x286 jailor 2 after + the 7 soprano = overcharged x287 the 3 courier.,Did the pirate slash the sail?,Yes,first,three,Transitive,plausible
7753,The chef sliced the tomato because the equestrian visited the housemaid and the quarterback neglected the lyricist.,The 5 chef + sliced 1 the = tomato x289 because 8 the + equestrian 4 visited = the x290 housemaid 7 and + the 4 quarterback = neglected x291 the 1 lyricist.,Did the chef slice the tomato?,Yes,first,three,Transitive,plausible
7754,The child smashed the toy car because the forester maddened the teller but the striker astounded the physicist.,The 2 child + smashed 1 the = toy x293 car 6 because + the 3 forester = maddened x294 the 1 teller + but 6 the = striker x295 astounded 2 the + physicist.,Did the child smash the toy car?,Yes,first,three,Transitive,plausible
7755,The player squashed the ball because the dane asked the bodyguard when the governor goaded the showman.,The 3 player + squashed 3 the = ball x297 because 3 the + dane 8 asked = the x298 bodyguard 9 when + the 9 governor = goaded x299 the 8 showman.,Did the player squash the ball?,Yes,first,three,Transitive,plausible
7756,The manager suggested the policy because the watchmaker peeved the hypnotist after the heiress healed the yachtsman.,The 5 manager + suggested 4 the = policy x301 because 3 the + watchmaker 8 peeved = the x302 hypnotist 3 after + the 4 heiress = healed x303 the 4 yachtsman.,Did the manager suggest the policy?,Yes,first,three,Transitive,plausible
7757,The student skipped the party after the barkeeper noticed the sniper and the minister maddened the user.,The 2 student + skipped 1 the = party x305 after 6 the + barkeeper 4 noticed = the x306 sniper 4 and + the 5 minister = maddened x307 the 9 user.,Did the student skip the party?,Yes,first,three,Transitive,plausible
7758,The artist touched the canvas after the gourmand compensated the professor but the draftsman victimized the respondent.,The 8 artist + touched 8 the = canvas x309 after 5 the + gourmand 6 compensated = the x310 professor 3 but + the 1 draftsman = victimized x311 the 3 respondent.,Did the artist touch the canvas?,Yes,first,three,Transitive,plausible
7759,The chef used the blender after the trespasser poisoned the murderer because the tenor flustered the co-worker.,The 3 chef + used 3 the = blender x313 after 8 the + trespasser 8 poisoned = the x314 murderer 1 because + the 1 tenor = flustered x315 the 5 co-worker.,Did the chef use the blender?,Yes,first,three,Transitive,plausible
7760,The person wasted the electricity after the prince repulsed the baroness when the caregiver watched the cabbie.,The 5 person + wasted 3 the = electricity x317 after 9 the + prince 5 repulsed = the x318 baroness 6 when + the 4 caregiver = watched x319 the 3 cabbie.,Did the person waste the electricity?,Yes,first,three,Transitive,plausible
7761,The provost choked the defender and the engine assembled the mechanic but the geophysicist eyed the merchant.,The 9 provost + choked 1 the = defender x321 and 4 the + engine 7 assembled = the x322 mechanic 3 but + the 7 geophysicist = eyed x323 the 1 merchant.,Did the engine assemble the mechanic?,Yes,second,three,Transitive,implausible
7762,The grouch shoved the actuary and the wire bent the tailor when the maverick rated the despot.,The 3 grouch + shoved 4 the = actuary x325 and 2 the + wire 1 bent = the x326 tailor 8 when + the 4 maverick = rated x327 the 9 despot.,Did the wire bend the tailor?,Yes,second,three,Transitive,implausible
7763,The countess agitated the herder and the apple bit the child because the geneticist defeated the co-worker.,The 7 countess + agitated 9 the = herder x329 and 2 the + apple 8 bit = the x330 child 2 because + the 9 geneticist = defeated x331 the 4 co-worker.,Did the apple bite the child?,Yes,second,three,Transitive,implausible
7764,The herder healed the professor and the ingredients blended the chef after the oncologist addressed the landlady.,The 2 herder + healed 9 the = professor x333 and 4 the + ingredients 2 blended = the x334 chef 7 after + the 9 oncologist = addressed x335 the 2 landlady.,Did the ingredients blend the chef?,Yes,second,three,Transitive,implausible
7765,The motorcyclist represented the envoy but the statue carved the sculptor and the toolmaker followed the violist.,The 9 motorcyclist + represented 3 the = envoy x337 but 8 the + statue 6 carved = the x338 sculptor 2 and + the 7 toolmaker = followed x339 the 7 violist.,Did the statue carve the sculptor?,Yes,second,three,Transitive,implausible
7766,The australian introduced the feminist but the vegetables chopped the chef when the strategist diagnosed the custodian.,The 6 australian + introduced 3 the = feminist x341 but 8 the + vegetables 8 chopped = the x342 chef 9 when + the 9 strategist = diagnosed x343 the 7 custodian.,Did the vegetables chop the chef?,Yes,second,three,Transitive,implausible
7767,The cabinetmaker assuaged the sommelier but the floor cleaned the cleaner because the patent teased the landscaper.,The 1 cabinetmaker + assuaged 1 the = sommelier x345 but 3 the + floor 8 cleaned = the x346 cleaner 5 because + the 6 patent = teased x347 the 3 landscaper.,Did the floor clean the cleaner?,Yes,second,three,Transitive,implausible
7768,The welder enraged the flutist but the stamps collected the collector after the cabbie filmed the appraiser.,The 5 welder + enraged 7 the = flutist x349 but 7 the + stamps 4 collected = the x350 collector 6 after + the 1 cabbie = filmed x351 the 9 appraiser.,Did the stamps collect the collector?,Yes,second,three,Transitive,implausible
7769,The workaholic flustered the insider when the meat cut the butcher and the scavenger avoided the chief.,The 2 workaholic + flustered 3 the = insider x353 when 9 the + meat 9 cut = the x354 butcher 2 and + the 1 scavenger = avoided x355 the 4 chief.,Did the meat cut the butcher?,Yes,second,three,Transitive,implausible
7770,The rustler esteemed the cinematographer when the landscape described the writer but the dairyman baffled the columnist.,The 8 rustler + esteemed 4 the = cinematographer x357 when 4 the + landscape 6 described = the x358 writer 6 but + the 6 dairyman = baffled x359 the 4 columnist.,Did the landscape describe the writer?,Yes,second,three,Transitive,implausible
7771,The bishop overcharged the girlfriend when the building destroyed the crew because the drummer enraged the custodian.,The 1 bishop + overcharged 7 the = girlfriend x361 when 3 the + building 9 destroyed = the x362 crew 7 because + the 2 drummer = enraged x363 the 5 custodian.,Did the building destroy the crew?,Yes,second,three,Transitive,implausible
7772,The sophomore acknowledged the bullfighter when the house designed the architect after the climber identified the fighter.,The 9 sophomore + acknowledged 5 the = bullfighter x365 when 2 the + house 7 designed = the x366 architect 6 after + the 4 climber = identified x367 the 2 fighter.,Did the house design the architect?,Yes,second,three,Transitive,implausible
7773,The feminist mollified the clown because the cart pushed the student and the wizard maddened the crusader.,The 3 feminist + mollified 2 the = clown x369 because 3 the + cart 9 pushed = the x370 student 9 and + the 9 wizard = maddened x371 the 8 crusader.,Did the cart push the student?,Yes,second,three,Transitive,implausible
7774,The protestor faced the chancellor because the portrait drew the artist but the respondent harassed the defense.,The 5 protestor + faced 8 the = chancellor x373 because 6 the + portrait 4 drew = the x374 artist 2 but + the 7 respondent = harassed x375 the 9 defense.,Did the portrait draw the artist?,Yes,second,three,Transitive,implausible
7775,The oncologist poked the idiot because the concept memorized the teacher when the commissioner challenged the greek.,The 7 oncologist + poked 2 the = idiot x377 because 9 the + concept 4 memorized = the x378 teacher 6 when + the 5 commissioner = challenged x379 the 3 greek.,Did the concept memorize the teacher?,Yes,second,three,Transitive,implausible
7776,The scout cursed the dissident because the metal flattened the blacksmith after the co-worker flattered the merchant.,The 1 scout + cursed 6 the = dissident x381 because 4 the + metal 5 flattened = the x382 blacksmith 5 after + the 6 co-worker = flattered x383 the 9 merchant.,Did the metal flatten the blacksmith?,Yes,second,three,Transitive,implausible
7777,The flutist undermined the excavator after the paper folded the artist and the bride wounded the atheist.,The 3 flutist + undermined 2 the = excavator x385 after 5 the + paper 6 folded = the x386 artist 6 and + the 6 bride = wounded x387 the 5 atheist.,Did the paper fold the artist?,Yes,second,three,Transitive,implausible
7778,The sportscaster accused the soundman after the nail hammered the carpenter but the hero mortified the victim.,The 7 sportscaster + accused 2 the = soundman x389 after 6 the + nail 9 hammered = the x390 carpenter 4 but + the 4 hero = mortified x391 the 6 victim.,Did the nail hammer the carpenter?,Yes,second,three,Transitive,implausible
