Group,ItemID,Context,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,Question,Correct_answer,Target_sentence_position,Number_of_propositions,Condition,Plausibility,Item,Arithmetic,Task
A,7861,The 9 ball + was 8 kicked = by x721 the 2 player + and 4 the = art x722 hosted 9 the + doorman 6 but = the x723 academic 4 ignored + the 3 dean.,The,9,ball,+,was,8,kicked,=,by,x721,the,2,player,+,and,4,the,=,art,x722,hosted,9,the,+,doorman,6,but,=,the,x723,academic,4,ignored,+,the,3,dean.,*,*,*,*,Was the ball kicked by the player?,J,first,three,Passive,plausible,101,1digit_2addition,dual
A,7862,The 6 door + was 9 knocked = by x725 the 6 burglar + and 5 the = character x726 inspired 7 the + perpetrator 7 when = the x727 pensioner 4 hurted + the 3 commuter.,The,6,door,+,was,9,knocked,=,by,x725,the,6,burglar,+,and,5,the,=,character,x726,inspired,7,the,+,perpetrator,7,when,=,the,x727,pensioner,4,hurted,+,the,3,commuter.,*,*,*,*,Was the door knocked by the burglar?,J,first,three,Passive,plausible,102,1digit_2addition,noisy-single
A,7881,The ceo seduced the prosecutor and the bookshelf was assembled by the carpenter but the landlady filmed the pastor.,The,ceo,seduced,the,prosecutor,and,the,bookshelf,was,assembled,by,the,carpenter,but,the,landlady,filmed,the,pastor.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Was the bookshelf assembled by the carpenter?,J,second,three,Passive,plausible,121,1digit_2addition,single
A,11802,The 6 heretic + humiliated 8 the = outsider x6265 and 1 the + upholsterer 9 tested = the x6266 respondent 2 when + the 4 instructor = was x6267 bent 5 by + the 1 mat.,The,6,heretic,+,humiliated,8,the,=,outsider,x6265,and,1,the,+,upholsterer,9,tested,=,the,x6266,respondent,2,when,+,the,4,instructor,=,was,x6267,bent,5,by,+,the,1,mat.,*,*,*,*,Was the mat bent by the instructor?,F,third,three,Passive,implausible,122,1digit_2addition,dual
A,11821,The 4 guy + was 9 kicked = by x6341 the 2 door + and 4 the = poacher x6342 heared 3 the + defender 8 but = the x6343 dermatologist 2 watched + the 7 petitioner.,The,4,guy,+,was,9,kicked,=,by,x6341,the,2,door,+,and,4,the,=,poacher,x6342,heared,3,the,+,defender,8,but,=,the,x6343,dermatologist,2,watched,+,the,7,petitioner.,*,*,*,*,Was the door kicked by the guy?,F,first,three,Passive,implausible,141,1digit_2addition,noisy-single
A,11822,The student was knocked by the door and the stableman framed the newcomer when the rustler assuaged the playwright.,The,student,was,knocked,by,the,door,and,the,stableman,framed,the,newcomer,when,the,rustler,assuaged,the,playwright.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Was the door knocked by the student?,F,first,three,Passive,implausible,142,1digit_2addition,single
A,11841,The 2 patriot + hounded 2 the = astronaut x6421 and 2 the + manager 8 allocated = the x6422 employees 9 the + tasks 4 but = the x6423 camper 9 begrudged + the 9 matador.,The,2,patriot,+,hounded,2,the,=,astronaut,x6421,and,2,the,+,manager,8,allocated,=,the,x6422,employees,9,the,+,tasks,4,but,=,the,x6423,camper,9,begrudged,+,the,9,matador.,*,*,*,*,Did the manager allocate the tasks the employees?,F,second,three,DoubleObjectConstruction,plausible,161,1digit_2addition,dual
A,11842,The 5 lyricist + faced 2 the = ranger x6425 and 6 the + lady 6 assigned = the x6426 assistant 7 the + project 5 when = the x6427 toymaker 2 isolated + the 4 tenor.,The,5,lyricist,+,faced,2,the,=,ranger,x6425,and,6,the,+,lady,6,assigned,=,the,x6426,assistant,7,the,+,project,5,when,=,the,x6427,toymaker,2,isolated,+,the,4,tenor.,*,*,*,*,Did the lady assign the project the assistant?,F,second,three,DoubleObjectConstruction,plausible,162,1digit_2addition,noisy-single
A,11861,The administrator offended the fortune-teller and the candidate hounded the saxophonist but the borrower owed the lender the money.,The,administrator,offended,the,fortune-teller,and,the,candidate,hounded,the,saxophonist,but,the,borrower,owed,the,lender,the,money.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the borrower owe the money the lender?,F,third,three,DoubleObjectConstruction,plausible,181,1digit_2addition,single
A,8102,The 1 student + passed 3 the = assignment x1685 the 2 teacher + and 1 the = scoundrel x1686 mortified 1 the + quarterback 6 when = the x1687 trumpeter 7 charmed + the 7 climber.,The,1,student,+,passed,3,the,=,assignment,x1685,the,2,teacher,+,and,1,the,=,scoundrel,x1686,mortified,1,the,+,quarterback,6,when,=,the,x1687,trumpeter,7,charmed,+,the,7,climber.,*,*,*,*,Did the student pass the assignment the teacher?,J,first,three,DoubleObjectConstruction,implausible,182,1digit_2addition,dual
A,8121,The 8 italian + alienated 6 the = leper x1761 and 6 the + manager 2 allocated = the x1762 budget 9 the + department 5 but = the x1763 chemist 6 mortified + the 1 forester.,The,8,italian,+,alienated,6,the,=,leper,x1761,and,6,the,+,manager,2,allocated,=,the,x1762,budget,9,the,+,department,5,but,=,the,x1763,chemist,6,mortified,+,the,1,forester.,*,*,*,*,Did the manager allocate the budget the department?,J,second,three,DoubleObjectConstruction,implausible,201,1digit_2addition,noisy-single
A,8122,The performer filmed the peace-lover and the teacher assigned the homework the students when the gallery enticed the athlete.,The,performer,filmed,the,peace-lover,and,the,teacher,assigned,the,homework,the,students,when,the,gallery,enticed,the,athlete.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the teacher assign the homework the students?,J,second,three,DoubleObjectConstruction,implausible,202,1digit_2addition,single
A,8061,The 8 physiologist + insulted 8 the = flutist x1521 and 9 the + debtor 4 owed = the x1522 creditor 4 the + debt 9 but = the x1523 missionary 6 deceived + the 2 steelworker.,The,8,physiologist,+,insulted,8,the,=,flutist,x1521,and,9,the,+,debtor,4,owed,=,the,x1522,creditor,4,the,+,debt,9,but,=,the,x1523,missionary,6,deceived,+,the,2,steelworker.,*,*,*,*,Did the debtor owe the creditor the debt?,J,second,three,DoubleObjectConstruction,plausible,221,1digit_2addition,dual
A,8062,The 3 golfer + singed 4 the = landlady x1525 and 7 the + student 6 passed = the x1526 classmate 1 the + note 4 when = the x1527 biologist 3 interviewed + the 3 organist.,The,3,golfer,+,singed,4,the,=,landlady,x1525,and,7,the,+,student,6,passed,=,the,x1526,classmate,1,the,+,note,4,when,=,the,x1527,biologist,3,interviewed,+,the,3,organist.,*,*,*,*,Did the student pass the classmate the note?,J,second,three,DoubleObjectConstruction,plausible,222,1digit_2addition,noisy-single
A,8161,The manager allocated the tasks to the employees and the inventor encountered the chaplain but the commoner quized the mariner.,The,manager,allocated,the,tasks,to,the,employees,and,the,inventor,encountered,the,chaplain,but,the,commoner,quized,the,mariner.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the manager allocate the tasks to the employees?,J,first,three,DativeConstruction,plausible,241,1digit_2addition,single
A,12082,The 4 oracle + squeezed 6 the = nobleman x7385 and 7 the + lady 8 assigned = the x7386 assistant 8 to + the 1 project = when x7387 the 4 dairyman + troubled 9 the = protagonist.,The,4,oracle,+,squeezed,6,the,=,nobleman,x7385,and,7,the,+,lady,8,assigned,=,the,x7386,assistant,8,to,+,the,1,project,=,when,x7387,the,4,dairyman,+,troubled,9,the,=,protagonist.,*,*,Did the lady assign the project to the assistant?,F,second,three,DativeConstruction,implausible,242,1digit_2addition,dual
A,12101,The 7 entertainer + diagnosed 4 the = missionary x7461 and 2 the + bullfighter 5 paged = the x7462 pollster 5 but + the 6 borrower = owed x7463 the 4 lender + to 4 the = money x7464 .,The,7,entertainer,+,diagnosed,4,the,=,missionary,x7461,and,2,the,+,bullfighter,5,paged,=,the,x7462,pollster,5,but,+,the,6,borrower,=,owed,x7463,the,4,lender,+,to,4,the,=,money,x7464,.,Did the borrower owe the money to the lender?,F,third,three,DativeConstruction,implausible,261,1digit_2addition,noisy-single
A,12102,The sharpshooter observed the healer and the taxi-driver challenged the goalkeeper when the student passed the teacher to the assignment .,The,sharpshooter,observed,the,healer,and,the,taxi-driver,challenged,the,goalkeeper,when,the,student,passed,the,teacher,to,the,assignment,.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the student pass the assignment to the teacher?,F,third,three,DativeConstruction,implausible,262,1digit_2addition,single
A,12041,The 8 embezzler + beged 9 the = murderer x7221 and 2 the + playwright 4 charmed = the x7222 patent 2 but + the 9 manager = allocated x7223 the 7 budget + to 5 the = department.,The,8,embezzler,+,beged,9,the,=,murderer,x7221,and,2,the,+,playwright,4,charmed,=,the,x7222,patent,2,but,+,the,9,manager,=,allocated,x7223,the,7,budget,+,to,5,the,=,department.,*,*,Did the manager allocate the department to the budget?,F,third,three,DativeConstruction,plausible,281,1digit_2addition,dual
A,12042,The 3 fighter + shoved 3 the = arbitrator x7225 and 7 the + workaholic 7 accosted = the x7226 coroner 9 when + the 7 teacher = assigned x7227 the 6 homework + to 8 the = students.,The,3,fighter,+,shoved,3,the,=,arbitrator,x7225,and,7,the,+,workaholic,7,accosted,=,the,x7226,coroner,9,when,+,the,7,teacher,=,assigned,x7227,the,6,homework,+,to,8,the,=,students.,*,*,Did the teacher assign the students to the homework?,F,third,three,DativeConstruction,plausible,282,1digit_2addition,noisy-single
A,12061,The debtor owed the debt to the creditor and the helper humiliated the accuser but the stuntman watched the actuary.,The,debtor,owed,the,debt,to,the,creditor,and,the,helper,humiliated,the,accuser,but,the,stuntman,watched,the,actuary.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the debtor owe the creditor to the debt?,F,first,three,DativeConstruction,plausible,301,1digit_2addition,single
A,8302,The 7 housemaid + applauded 6 the = vagrant x2505 and 4 the + student 2 passed = the x2506 classmate 7 to + the 5 note = when x2507 the 1 columnist + tickled 3 the = pastor.,The,7,housemaid,+,applauded,6,the,=,vagrant,x2505,and,4,the,+,student,2,passed,=,the,x2506,classmate,7,to,+,the,5,note,=,when,x2507,the,1,columnist,+,tickled,3,the,=,pastor.,*,*,Did the student pass the classmate to the note?,J,second,three,DativeConstruction,implausible,302,1digit_2addition,dual
A,8401,The 2 chef + baked 7 the = cookies x2901 the 5 child + and 7 the = jock x2902 addressed 7 the + arbitrator 6 but = the x2903 housemaid 6 advised + the 8 paleontologist.,The,2,chef,+,baked,7,the,=,cookies,x2901,the,5,child,+,and,7,the,=,jock,x2902,addressed,7,the,+,arbitrator,6,but,=,the,x2903,housemaid,6,advised,+,the,8,paleontologist.,*,*,*,*,Did the chef bake the cookies the child?,J,first,three,BenefactiveDoubleObjectConstruction,implausible,321,1digit_2addition,noisy-single
A,8402,The agent booked the flight the traveler and the illustrator begrudged the foreman when the gallery befriended the newswoman.,The,agent,booked,the,flight,the,traveler,and,the,illustrator,begrudged,the,foreman,when,the,gallery,befriended,the,newswoman.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the agent book the flight the traveler?,J,first,three,BenefactiveDoubleObjectConstruction,implausible,322,1digit_2addition,single
A,8341,The 4 thief + stole 4 the = criminal x2661 the 6 item + and 6 the = plumber x2662 sickened 7 the + procrastinator 6 but = the x2663 football 4 backed + the 1 machinist.,The,4,thief,+,stole,4,the,=,criminal,x2661,the,6,item,+,and,6,the,=,plumber,x2662,sickened,7,the,+,procrastinator,6,but,=,the,x2663,football,4,backed,+,the,1,machinist.,*,*,*,*,Did the thief steal the criminal the item?,J,first,three,BenefactiveDoubleObjectConstruction,plausible,341,1digit_2addition,dual
A,8342,The 2 roommate + washed 9 the = friend x2665 the 6 dish + and 3 the = usurper x2666 vexed 5 the + pediatrician 8 when = the x2667 zoologist 1 deceived + the 7 bookbinder.,The,2,roommate,+,washed,9,the,=,friend,x2665,the,6,dish,+,and,3,the,=,usurper,x2666,vexed,5,the,+,pediatrician,8,when,=,the,x2667,zoologist,1,deceived,+,the,7,bookbinder.,*,*,*,*,Did the roommate wash the friend the dish?,J,first,three,BenefactiveDoubleObjectConstruction,plausible,342,1digit_2addition,noisy-single
A,8361,The polygamist defeated the undergraduate and the maid cleaned the siblings the rooms but the agnostic followed the niece.,The,polygamist,defeated,the,undergraduate,and,the,maid,cleaned,the,siblings,the,rooms,but,the,agnostic,followed,the,niece.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the maid clean the siblings the rooms?,J,second,three,BenefactiveDoubleObjectConstruction,plausible,361,1digit_2addition,single
A,12282,The 7 respondent + insulted 5 the = nobleman x8205 and 4 the + fanatic 7 eyed = the x8206 russian 6 when + the 8 researcher = compiled x8207 the 2 report + the 8 team.,The,7,respondent,+,insulted,5,the,=,nobleman,x8205,and,4,the,+,fanatic,7,eyed,=,the,x8206,russian,6,when,+,the,8,researcher,=,compiled,x8207,the,2,report,+,the,8,team.,*,*,*,*,Did the researcher compile the team the report?,F,third,three,BenefactiveDoubleObjectConstruction,implausible,362,1digit_2addition,dual
A,12301,The 4 conservationist + saved 1 the = nuts x8281 the 3 squirrel + and 8 the = know-it-all x8282 scared 6 the + veteran 5 but = the x8283 cheerleader 3 paged + the 1 treasurer.,The,4,conservationist,+,saved,1,the,=,nuts,x8281,the,3,squirrel,+,and,8,the,=,know-it-all,x8282,scared,6,the,+,veteran,5,but,=,the,x8283,cheerleader,3,paged,+,the,1,treasurer.,*,*,*,*,Did the conservationist save the squirrel the nuts?,F,first,three,BenefactiveDoubleObjectConstruction,implausible,381,1digit_2addition,noisy-single
A,12302,The owner secured the leash the dog and the parishioner ruined the american when the revolutionary derided the taxi-driver.,The,owner,secured,the,leash,the,dog,and,the,parishioner,ruined,the,american,when,the,revolutionary,derided,the,taxi-driver.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the owner secure the dog the leash?,F,first,three,BenefactiveDoubleObjectConstruction,implausible,382,1digit_2addition,single
A,12321,The 4 storyteller + fascinated 7 the = golfer x8361 and 2 the + chef 4 baked = the x8362 cookies 4 for + the 9 child = but x8363 the 2 trespasser + fighted 4 the = idiot.,The,4,storyteller,+,fascinated,7,the,=,golfer,x8361,and,2,the,+,chef,4,baked,=,the,x8362,cookies,4,for,+,the,9,child,=,but,x8363,the,2,trespasser,+,fighted,4,the,=,idiot.,*,*,Did the chef bake the child for the cookies?,F,second,three,BenefactiveFor,plausible,401,1digit_2addition,dual
A,12322,The 1 anesthesiologist + mortified 9 the = adjuster x8365 and 1 the + agent 4 booked = the x8366 flight 4 for + the 9 traveler = when x8367 the 4 warrior + stuned 5 the = reverent.,The,1,anesthesiologist,+,mortified,9,the,=,adjuster,x8365,and,1,the,+,agent,4,booked,=,the,x8366,flight,4,for,+,the,9,traveler,=,when,x8367,the,4,warrior,+,stuned,5,the,=,reverent.,*,*,Did the agent book the traveler for the flight?,F,second,three,BenefactiveFor,plausible,402,1digit_2addition,noisy-single
A,12341,The shoemaker nudged the procrastinator and the tramp invited the proctor but the thief stole the item for the criminal.,The,shoemaker,nudged,the,procrastinator,and,the,tramp,invited,the,proctor,but,the,thief,stole,the,item,for,the,criminal.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the thief steal the criminal for the item?,F,third,three,BenefactiveFor,plausible,421,1digit_2addition,single
A,8582,The 3 roommate + washed 8 the = friend x3625 for 7 the + dish 8 and = the x3626 taxpayer 4 noted + the 7 cat = when x3627 the 6 conservator + provoked 9 the = trumpeter.,The,3,roommate,+,washed,8,the,=,friend,x3625,for,7,the,+,dish,8,and,=,the,x3626,taxpayer,4,noted,+,the,7,cat,=,when,x3627,the,6,conservator,+,provoked,9,the,=,trumpeter.,*,*,Did the roommate wash the friend for the dish?,J,first,three,BenefactiveFor,implausible,422,1digit_2addition,dual
A,8601,The 8 lieutenant + escorted 8 the = invalid x3701 and 6 the + maid 2 cleaned = the x3702 siblings 3 for + the 6 rooms = but x3703 the 4 treasurer + delighted 5 the = refugee.,The,8,lieutenant,+,escorted,8,the,=,invalid,x3701,and,6,the,+,maid,2,cleaned,=,the,x3702,siblings,3,for,+,the,6,rooms,=,but,x3703,the,4,treasurer,+,delighted,5,the,=,refugee.,*,*,Did the maid clean the siblings for the rooms?,J,second,three,BenefactiveFor,implausible,441,1digit_2addition,noisy-single
A,8602,The butler presented the messenger and the researcher compiled the team for the report when the hairdresser rated the astronaut.,The,butler,presented,the,messenger,and,the,researcher,compiled,the,team,for,the,report,when,the,hairdresser,rated,the,astronaut.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the researcher compile the team for the report?,J,second,three,BenefactiveFor,implausible,442,1digit_2addition,single
A,8541,The 1 spokeswoman + misinformed 1 the = baroness x3461 and 7 the + conservationist 1 saved = the x3462 nuts 7 for + the 3 squirrel = but x3463 the 2 exporter + evaluated 8 the = defense.,The,1,spokeswoman,+,misinformed,1,the,=,baroness,x3461,and,7,the,+,conservationist,1,saved,=,the,x3462,nuts,7,for,+,the,3,squirrel,=,but,x3463,the,2,exporter,+,evaluated,8,the,=,defense.,*,*,Did the conservationist save the nuts for the squirrel?,J,second,three,BenefactiveFor,plausible,461,1digit_2addition,dual
A,8542,The 2 electrician + snubed 2 the = underwriter x3465 and 4 the + owner 9 secured = the x3466 leash 3 for + the 2 dog = when x3467 the 5 goalie + misinformed 3 the = flora.,The,2,electrician,+,snubed,2,the,=,underwriter,x3465,and,4,the,+,owner,9,secured,=,the,x3466,leash,3,for,+,the,2,dog,=,when,x3467,the,5,goalie,+,misinformed,3,the,=,flora.,*,*,Did the owner secure the leash for the dog?,J,second,three,BenefactiveFor,plausible,462,1digit_2addition,noisy-single
A,8641,The artist admired the masterpiece and the trickster hurted the greek but the optometrist assuaged the pediatrician.,The,artist,admired,the,masterpiece,and,the,trickster,hurted,the,greek,but,the,optometrist,assuaged,the,pediatrician.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the artist admire the masterpiece?,J,first,three,ExperienerSubject,plausible,481,1digit_2addition,single
A,12562,The 1 respondent + intimidated 1 the = warrior x9325 and 4 the + toy 7 adored = the x9326 child 4 when + the 1 admiral = awed x9327 the 2 pianist.,The,1,respondent,+,intimidated,1,the,=,warrior,x9325,and,4,the,+,toy,7,adored,=,the,x9326,child,4,when,+,the,1,admiral,=,awed,x9327,the,2,pianist.,*,*,*,*,*,*,*,*,Did the child adore the toy?,F,second,three,ExperienerSubject,implausible,482,1digit_2addition,dual
A,12581,The 9 encroacher + deceived 7 the = grandson x9401 and 5 the + atheist 2 haunted = the x9402 conman 1 but + the 6 artifact = venerated x9403 the 7 archaeologist.,The,9,encroacher,+,deceived,7,the,=,grandson,x9401,and,5,the,+,atheist,2,haunted,=,the,x9402,conman,1,but,+,the,6,artifact,=,venerated,x9403,the,7,archaeologist.,*,*,*,*,*,*,*,*,Did the archaeologist venerate the artifact?,F,third,three,ExperienerSubject,implausible,501,1digit_2addition,noisy-single
A,12582,The barkeeper deprecated the composer and the flutist mollified the statistician when the painting wanted the collector.,The,barkeeper,deprecated,the,composer,and,the,flutist,mollified,the,statistician,when,the,painting,wanted,the,collector.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the collector want the painting?,F,third,three,ExperienerSubject,implausible,502,1digit_2addition,single
A,12521,The 5 locksmith + nudged 9 the = pollster x9161 and 6 the + homeless 3 befuddled = the x9162 niece 7 but + the 6 student = admired x9163 the 6 sculpture.,The,5,locksmith,+,nudged,9,the,=,pollster,x9161,and,6,the,+,homeless,3,befuddled,=,the,x9162,niece,7,but,+,the,6,student,=,admired,x9163,the,6,sculpture.,*,*,*,*,*,*,*,*,Did the sculpture admire the student?,F,third,three,ExperienerSubject,plausible,521,1digit_2addition,dual
A,12522,The 1 leper + assuaged 3 the = climber x9165 and 8 the + champion 8 spooked = the x9166 grouch 3 when + the 7 kid = adored x9167 the 7 doll.,The,1,leper,+,assuaged,3,the,=,climber,x9165,and,8,the,+,champion,8,spooked,=,the,x9166,grouch,3,when,+,the,7,kid,=,adored,x9167,the,7,doll.,*,*,*,*,*,*,*,*,Did the doll adore the kid?,F,third,three,ExperienerSubject,plausible,522,1digit_2addition,noisy-single
A,12541,The pilgrim venerated the shrine and the mayor smacked the go-between but the photographer understanded the coroner.,The,pilgrim,venerated,the,shrine,and,the,mayor,smacked,the,go-between,but,the,photographer,understanded,the,coroner.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the shrine venerate the pilgrim?,F,first,three,ExperienerSubject,plausible,541,1digit_2addition,single
A,8782,The 1 chemist + humiliated 6 the = spokeswoman x4425 and 8 the + adventure 3 wanted = the x4426 explorer 5 when + the 8 herder = squeezed x4427 the 6 exporter.,The,1,chemist,+,humiliated,6,the,=,spokeswoman,x4425,and,8,the,+,adventure,3,wanted,=,the,x4426,explorer,5,when,+,the,8,herder,=,squeezed,x4427,the,6,exporter.,*,*,*,*,*,*,*,*,Did the adventure want the explorer?,J,second,three,ExperienerSubject,implausible,542,1digit_2addition,dual
A,8881,The 7 committee + agonized 9 the = decision x4821 and 7 the + englishman 8 mortified = the x4822 stranger 8 but + the 5 psychiatrist = followed x4823 the 4 spy.,The,7,committee,+,agonized,9,the,=,decision,x4821,and,7,the,+,englishman,8,mortified,=,the,x4822,stranger,8,but,+,the,5,psychiatrist,=,followed,x4823,the,4,spy.,*,*,*,*,*,*,*,*,Did the committee agonize the decision?,J,first,three,ExperienerObject,implausible,561,1digit_2addition,noisy-single
A,8882,The audience amazed the trick and the yardman hounded the postdoc when the collaborator fancied the pharmacist.,The,audience,amazed,the,trick,and,the,yardman,hounded,the,postdoc,when,the,collaborator,fancied,the,pharmacist.,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,Did the audience amaze the trick?,J,first,three,ExperienerObject,implausible,562,1digit_2addition,single
A,8821,The 2 decision + displeased 6 the = client x4581 and 6 the + concierge 8 asked = the x4582 rogue 7 but + the 5 flutist = respected x4583 the 9 chiseler.,The,2,decision,+,displeased,6,the,=,client,x4581,and,6,the,+,concierge,8,asked,=,the,x4582,rogue,7,but,+,the,5,flutist,=,respected,x4583,the,9,chiseler.,*,*,*,*,*,*,*,*,Did the decision displease the client?,J,first,three,ExperienerObject,plausible,581,1digit_2addition,dual
A,8822,The 6 mistake + embarrassed 6 the = presenter x4585 and 4 the + showman 2 introduced = the x4586 undergraduate 2 when + the 9 pitcher = bullied x4587 the 3 contender.,The,6,mistake,+,embarrassed,6,the,=,presenter,x4585,and,4,the,+,showman,2,introduced,=,the,x4586,undergraduate,2,when,+,the,9,pitcher,=,bullied,x4587,the,3,contender.,*,*,*,*,*,*,*,*,Did the mistake embarrass the presenter?,J,first,three,ExperienerObject,plausible,582,1digit_2addition,noisy-single
